GMAPM_ID,住所,緯度,経度
GMAPM_A40137,日本、〒546-0024 大阪府大阪市東住吉区公園南矢田３丁目２４−６,,
GMAPM_A50068,日本、〒544-0023 大阪府大阪市生野区林寺５丁目８−１５ 足立マンション 101,,
GMAPM_A50069,日本、〒547-0041 大阪府大阪市平野区平野北１丁目６−２７,,
GMAPM_G50002,日本、〒546-0002 大阪府大阪市東住吉区杭全７丁目２−５,,
GMAPM_A50070,日本、〒546-0024 大阪府大阪市東住吉区公園南矢田３丁目２４−６,,
GMAPM_A30102,日本、〒547-0024 大阪府大阪市平野区瓜破４丁目２−８,,
GMAPM_A30103,日本、〒546-0024 大阪府大阪市東住吉区公園南矢田３丁目２４−６,,
GMAPM_D30025,日本、〒546-0043 大阪府大阪市東住吉区駒川５丁目１０−１１,,
GMAPM_A30104,日本、〒547-0034 大阪府大阪市平野区背戸口１丁目２２−２９,,
GMAPM_A10163,日本、〒651-0085 兵庫県神戸市中央区八幡通４丁目１−１５ 成樹ビル 103,,
