
name,date,location,venue,address,prefecture,city,lat,lon,source,url
新大阪駅エリアまちづくりのキャッチフレーズ　一般投票,2024/12/4(水) to 2025/1/10(金),新大阪駅周辺地域都市再生緊急整備協議会、新大阪駅周辺地域まちづくり検討部会,,新大阪駅周辺地域都市再生緊急整備協議会、新大阪駅周辺地域まちづくり検討部会,新大阪駅周辺地域都,市再生緊急整備協議会、新大阪駅周辺地域まちづくり検討部会,35.0144813,135.7624750,MLIT,https://www.pref.osaka.lg.jp/o140030/daitoshimachi/shin-osaka/shin-osaka_catchphrase.html
品川プレイスメイキングSHOW―オフィスの外から楽しいまちをつくる！,2024/11/27(水)　18:00 to 20:00,ソトノバ 主催,,ソトノバ 主催,,ソトノバ 主催,,,MLIT,https://sotonoba.place/placemakingjp-shinagawashow
第36回技術研究発表会,2024/11/29(金)　10:30 to 18:30,ハイブリッド・アーバンインフラ・テクノロジー推進会議 主催,,ハイブリッド・アーバンインフラ・テクノロジー推進会議 主催,,ハイブリッド・アーバンインフラ・テクノロジー推進会議 主催,,,MLIT,https://www.uit.gr.jp/tech_research2024/
大丸有まちづくり協議会シンポジウム「FACE 2024」,2024/12/5(木)　13:30 to 16:35,オンライン・(一社)大手町・丸の内・有楽町地区まちづくり協議会 主催,,オンライン・(一社)大手町・丸の内・有楽町地区まちづくり協議会 主催,,オンライン・(一社)大手町・丸の内・有楽町地区まちづくり協議会 主催,,,MLIT,https://face-omy.jp/
【全６回】ウォーカブルなまちを目指す公共空間活用講座～めざせ公共空間マスター～,2025/1/9(木) to 2025/2/13(木) 毎週木曜日 19:30 to 21:00 連続6週開催,NPO法人自治経営 公共空間事業部 主催,,NPO法人自治経営 公共空間事業部 主催,,NPO法人自治経営 公共空間事業部 主催,,,MLIT,https://www.mlit.go.jp/toshi/local-event/
ストリートの歴史や文化を引き出す社会実験DAY＠時計台前仲通り,2024/11/9(土),札幌駅前通地区まちづくりプラットフォーム検討会議、アーバンデザインセンター大宮 主催,,札幌駅前通地区まちづくりプラットフォーム検討会議、アーバンデザインセンター大宮 主催,,札幌駅前通地区まちづくりプラットフォーム検討会議、アーバンデザインセンター大宮 主催,,,MLIT,https://www.sapporoekimae-management.jp/streetdesignschool2024/
公園空間活用実験「ふらっと大門・丸之内＠お城前公園」,2024/10/16(水) to 11/15(金),エリアプラットフォーム「大門・丸之内　未来のまちづくり」 主催,,エリアプラットフォーム「大門・丸之内　未来のまちづくり」 主催,,エリアプラットフォーム「大門・丸之内　未来のまちづくり」 主催,,,MLIT,https://daimaruapf.jp/info/448/
Tim Tompkins 氏講演会＆ラウンドテーブル,2024/10/15(火),全国エリアマネジメントネットワーク 主催,,全国エリアマネジメントネットワーク 主催,,全国エリアマネジメントネットワーク 主催,,,MLIT,https://www.mlit.go.jp/toshi/local-event/
市堀川夜市,2024/10/1(火) to 2025/3/31(月),(株)紀州まちづくり舎 主催,,(株)紀州まちづくり舎 主催,富山県,(株)紀州まちづくり舎 主催,36.6749094,137.2226043,MLIT,https://www.kishumachi.com/ichihorigawayoichi
ストリートはコミュニティの核となりうるか ―「アナザーユートピア」を求めて,2024/10/11(金),クラブヒルサイド 主催,,クラブヒルサイド 主催,,クラブヒルサイド 主催,,,MLIT,https://hillsideterrace.com/events/14358/
アオバリビング,2024/10/4(金) to 10/14(月),静岡市,,静岡市,,静岡市,34.9751974,138.3831697,MLIT,https://omachi.shizuoka.jp/2024/09/23/aobaliving/
世界銀行東京開発ラーニングセンター（TDLC）創立記念イベント,2024/10/17(木) to 10/18(金),世界銀行TDLC 主催,,世界銀行TDLC 主催,,世界銀行TDLC 主催,,,MLIT,https://www.mlit.go.jp/toshi/local-event/
甲府まちなか社会実験,2024/10/1(火) to 10/31(木),甲府まちなかエリアプラットフォーム 主催,,甲府まちなかエリアプラットフォーム 主催,甲府,まちなかエリアプラットフォーム 主催,35.6673798,138.5690672,MLIT,https://kofu-machinaka-ap.com/#project
道庁南エリア社会実験vol.3  未来のまちを思い描く「ドゥ・イット・ユア・ストリート」,2024/9/18(水) to 9/20(金),道庁南エリア研究会主催,,道庁南エリア研究会主催,,道庁南エリア研究会主催,,,MLIT,https://www.sapporoekimae-management.jp/douchouminami/
視察報告！豪州の最新パブリックスペース｜ソトノバTABLE#52,2024/9/13(金),ハイブリッド・ソトノバ主催,,ハイブリッド・ソトノバ主催,,ハイブリッド・ソトノバ主催,,,MLIT,https://sotonoba.place/20240913sotonobatable52
県庁周辺エリアアイデアコンペ,参加登録〆切2024/10/18(金),富山県,,富山県,富山県,,36.6468015,137.2183531,MLIT,https://toyama-idea.jp/
「アイレベルゲーム」について聞こう！The City at Eye Level公開インタビュー｜ソトノバTABLE#51,2024/8/21(木),オンライン・ソトノバ主催,,オンライン・ソトノバ主催,,オンライン・ソトノバ主催,,,MLIT,https://sotonoba.place/20240821eyelevelgame
「ソトみど」始動！ソトとみどりのイイ関係｜GCT×ソトノバTABLE#50,2024/8/8(木),ソトノバ・Green Connection TOKYO,,ソトノバ・Green Connection TOKYO,,ソトノバ・Green Connection TOKYO,,,MLIT,https://sotonoba.place/sotonobatable50
「まちづくりアイデアコンペin東静岡」,事前登録期間2024/7/26(金) to 9/27(金),静岡市,,静岡市,,静岡市,34.9751974,138.3831697,MLIT,https://www.city.shizuoka.lg.jp/s5698/s012535.html
買物公園エリア社会実験「まちにち計画 ～わたしたちの“毎日”をつくってみる28日間～」,2024/8/11(日) to 9/7(土),旭川市,,旭川市,,旭川市,43.7706250,142.3649743,MLIT,https://www.city.asahikawa.hokkaido.jp/kurashi/408/800/d079951.html
